objectid,title,contributor,creator,date,description,format,language,publisher,relation,rights,subject,coverage,type ,source,file
CCM_001,Flooded Homes ,Collier County Museums Archives ,,Sep-60,Residents navigate deep floodwaters around their homes after a major storm in Collier County.,Photo,none,Collier County Musuems,,,Floods ,Collier County (Fla),Image ,Collier County Museum archives,2013275 (1).jpg
CCM_002,Flooded Neighborhood,Collier County Museums Archives ,,Sep-60,Floodwaters surround small houses in residential area after Hurricane Donna ,Photo,none,Collier County Musuems,,,Floods ,Collier County (Fla),Image ,Collier County Museum archives,2013277.jpg
CCM_003,Florida Health Notes ,Collier County Museums Archives ,,Apr-61,"The cover of Florida Health Notes (April, 1961) Featuring special issue on Hurricane Donna",Photo,none,Collier County Musuems,,,Public Health,Florida ,Text,Collier County Museum archives,CDD082F6-7B56-4DC9-B30B-FA12FC26BB89.jpeg
CCM_004,Sherrif Portrait ,Collier County Museums Archives ,,unknown,Portrait of Sherrif E.A. Doug Hendry,Photo ,none,Collier County Musuems,,,Law enforcement,Collier County (Fla),Image ,Collier County Museum archives,8624 (1).jpg
CCM_005,Florida Health Notes ,Collier County Museums Archives ,,Apr-61,"Pages from Florida Health Notes showing maps, illustrations, and early reports on Hurricane Donna's path through Florida ",Type written page and picture ,English,Collier County Musuems,,,Hurricanes ,Florida ,Text,Collier County Museum archives,21810825-3E40-45DC-B7F3-5651FADCF5B2.jpeg
CCM_006,Disaster Aid Headline ,Collier County Museums Archives ,,13-Sep-61,Fort Myers News Press front page announcing federal disaster aid and major damage from Hurricane Donna across Florida,Typewritten,English,Collier County Musuems,,,Hurricane ,Fort Myers (Fla),Text,Collier County Museum archives,9C2D6CF0-6B6E-4A86-947A-59272DAB6792.jpeg
CCM_007,Civil Defense Report ,Collier County Museums Archives ,,Sep-60,A typed civil defense report describing Hurricane Donna's approach to Collier County and early evacuation instructions by Sherrif Hendry,Typewritten,English,Collier County Musuems,,,Hurricanes ,Collier County (Fla),Text,Collier County Museum archives,81126BE0-8BBA-42D6-9D5F-7FD8CFFA9D75.jpeg
CCM_008,Hurricane Donna Report,Collier County Museums Archives ,,1960,"A typed report titled ""Donna was the worst storm we ever had"" describing damage, evacuations, and recovery across Collier County",Typewritten,English,Collier County Musuems,,,Hurricane ,Collier County (Fla),Text,Collier County Museum archives,70885938-427F-4360-A182-02D7BD24EE79.jpeg
CCM_009,Man in Floodwater,Collier County Museums Archives ,,Sep-60,Man wades through flood waters near small row of homes following Hurricane Donna,Photo ,none,Collier County Musuems,,,Floods ,Collier County (Fla),Image ,Collier County Museum archives,2013279.jpg


